sender,subject,cleaned_body
alex.martin@example.com,great support experience,the customer support team was very helpful and resolved my issue quickly thank you
william.davis@example.com,Suggestion feedback,add option for express delivery
sophia.garcia@example.com,Complaint feedback,package arrived damaged
anna.smith@example.com,Suggestion feedback,improve mobile app performance
sophia.garcia@example.com,Suggestion feedback,improve mobile app performance
james.rodriguez@example.com,Complaint feedback,customer service never responded
isabella.martinez@example.com,Neutral feedback,please confirm my order status
william.davis@example.com,Complaint feedback,package arrived damaged
william.davis@example.com,Praise feedback,absolutely love this product
james.rodriguez@example.com,Praise feedback,very satisfied with my purchase
isabella.martinez@example.com,Neutral feedback,when will the next sale be available
olivia.brown@example.com,Suggestion feedback,improve mobile app performance
james.rodriguez@example.com,Complaint feedback,delivery was delayed by 10 days
sophia.garcia@example.com,Neutral feedback,is product available in stock
anna.smith@example.com,Neutral feedback,need to change my delivery address
anna.smith@example.com,Praise feedback,delivery was super fast
anna.smith@example.com,Complaint feedback,package arrived damaged
noah.james@example.com,Suggestion feedback,include size guide on product pages
ava.miller@example.com,Neutral feedback,when will the next sale be available
olivia.brown@example.com,Complaint feedback,product stopped working after one week
noah.james@example.com,Complaint feedback,customer service never responded
olivia.brown@example.com,Praise feedback,delivery was super fast
liam.johnson@example.com,Suggestion feedback,please introduce more color options
olivia.brown@example.com,Neutral feedback,update me on shipping details
olivia.brown@example.com,Complaint feedback,customer service never responded
liam.johnson@example.com,Praise feedback,absolutely love this product
isabella.martinez@example.com,Suggestion feedback,include size guide on product pages
james.rodriguez@example.com,Suggestion feedback,include size guide on product pages
ava.miller@example.com,Suggestion feedback,add live chat support
olivia.brown@example.com,Complaint feedback,delivery was delayed by 10 days
isabella.martinez@example.com,Praise feedback,fantastic customer support
liam.johnson@example.com,Neutral feedback,update me on shipping details
sophia.garcia@example.com,Complaint feedback,delivery was delayed by 10 days
sophia.garcia@example.com,Complaint feedback,product stopped working after one week
lucas.hernandez@example.com,Neutral feedback,when will the next sale be available
lucas.hernandez@example.com,Complaint feedback,package arrived damaged
isabella.martinez@example.com,Suggestion feedback,improve mobile app performance
liam.johnson@example.com,Praise feedback,quality exceeded expectations
ava.miller@example.com,Praise feedback,quality exceeded expectations
sophia.garcia@example.com,Neutral feedback,please confirm my order status
anna.smith@example.com,Suggestion feedback,include size guide on product pages
lucas.hernandez@example.com,Complaint feedback,product stopped working after one week
isabella.martinez@example.com,Complaint feedback,product stopped working after one week
ava.miller@example.com,Suggestion feedback,please introduce more color options
noah.james@example.com,Neutral feedback,need to change my delivery address
ava.miller@example.com,Neutral feedback,is product available in stock
liam.johnson@example.com,Neutral feedback,when will the next sale be available
james.rodriguez@example.com,Suggestion feedback,please introduce more color options
liam.johnson@example.com,Praise feedback,fantastic customer support
olivia.brown@example.com,Complaint feedback,package arrived damaged
